Brand,Model,Launch Year,Segment,Fuel Type,Variants,Ex-Showroom Price (₹ Lakhs),Monthly Sales (Units),Battery / Mileage,Notable Features,Price Min (Lakh),Price Max (Lakh),Price Avg (Lakh),Is EV,Fuel Type Clean
Honda,Amaze,2019,Sedan,Petrol,12,6.00 - 15.00,13254,20.1 kmpl,"Hill Hold, ABS, Cruise Control, Leather Seats, AC, Power Windows, Voice Control",6.0,15.0,10.5,ICE/Hybrid,Petrol
Nissan,Magnite,2019,Electric Hatchback,Petrol,3,6.00 - 12.00,4642,24.1 kmpl,"360 Camera, Hill Hold, Ventilated Seats, Leather Seats, Sunroof, Apple CarPlay",6.0,12.0,9.0,ICE/Hybrid,Petrol
Tata,Harrier,2015,Compact SUV,Petrol/CNG,22,7.00 - 18.00,10650,22.0 kmpl,"TPMS, ADAS, EBD, Sunroof, Touchscreen, Cruise Control, AC, Power Windows, Wireless Charging, HUD, Apple CarPlay",7.0,18.0,12.5,ICE/Hybrid,Petrol/CNG
MG,Astor,2022,Electric Hatchback,Petrol,20,6.00 - 12.00,4381,21.4 kmpl,"EBD, Airbags, ADAS, Cruise Control, Ventilated Seats, Power Windows, Leather Seats, Android Auto, Apple CarPlay, Voice Control",6.0,12.0,9.0,ICE/Hybrid,Petrol
Nissan,Kicks,2015,SUV,Diesel,3,10.00 - 30.00,2944,25.2 kmpl,"Airbags, ABS, AC, Ventilated Seats, Touchscreen, Sunroof, Leather Seats, Android Auto, Connected Car",10.0,30.0,20.0,ICE/Hybrid,Diesel
Lexus,NX,2020,Compact SUV,Petrol,19,7.00 - 18.00,7398,21.5 kmpl,"EBD, TPMS, 360 Camera, Airbags, Touchscreen, AC, Leather Seats, Ventilated Seats, Power Windows, Voice Control, Android Auto, Wireless Charging",7.0,18.0,12.5,ICE/Hybrid,Petrol
Force,Gurkha,2020,SUV,Petrol,25,10.00 - 30.00,7067,15.6 kmpl,"Hill Hold, TPMS, Ventilated Seats, Touchscreen, AC, Power Windows, Sunroof, Android Auto, Wireless Charging, HUD",10.0,30.0,20.0,ICE/Hybrid,Petrol
MG,Hector,2017,Hatchback,Petrol,8,3.50 - 8.50,15669,19.0 kmpl,"Airbags, ABS, ESC, Leather Seats, Cruise Control, AC, Power Windows, Android Auto, Voice Control",3.5,8.5,6.0,ICE/Hybrid,Petrol
Mahindra,Scorpio,2017,Electric SUV,Petrol,11,12.00 - 25.00,1833,16.2 kmpl,"Hill Hold, ABS, ESC, TPMS, Touchscreen, Ventilated Seats, AC, Android Auto",12.0,25.0,18.5,ICE/Hybrid,Petrol
Skoda,Slavia,2017,Compact SUV,Petrol,14,7.00 - 18.00,11532,24.1 kmpl,"ESC, TPMS, 360 Camera, Power Windows, Cruise Control, Touchscreen, Ventilated Seats, Wireless Charging, Voice Control",7.0,18.0,12.5,ICE/Hybrid,Petrol
Kia,EV6,2021,SUV,Diesel,8,10.00 - 30.00,3059,26.1 kmpl,"EBD, ESC, Power Windows, Cruise Control, Leather Seats, AC, Voice Control, Connected Car",10.0,30.0,20.0,ICE/Hybrid,Diesel
Volkswagen,Virtus,2017,Electric SUV,Petrol,13,12.00 - 25.00,3449,22.2 kmpl,"Hill Hold, ESC, ABS, EBD, Power Windows, Cruise Control, Ventilated Seats, Sunroof, Touchscreen, HUD, Wireless Charging, Apple CarPlay",12.0,25.0,18.5,ICE/Hybrid,Petrol
Lexus,RX,2022,Hatchback,Diesel,11,3.50 - 8.50,12863,24.2 kmpl,"ESC, 360 Camera, ABS, Power Windows, Ventilated Seats, Touchscreen, Leather Seats, AC, Connected Car, HUD",3.5,8.5,6.0,ICE/Hybrid,Diesel
Mercedes,C-Class,2015,Compact SUV,Petrol,1,7.00 - 18.00,6369,18.2 kmpl,"360 Camera, ADAS, Leather Seats, Touchscreen, Cruise Control, HUD",7.0,18.0,12.5,ICE/Hybrid,Petrol
Mahindra,XUV 300,2016,Electric Hatchback,Petrol,8,6.00 - 12.00,1843,16.4 kmpl,"ADAS, EBD, ESC, 360 Camera, AC, Touchscreen, Leather Seats, Sunroof, Ventilated Seats, HUD, Voice Control, Android Auto",6.0,12.0,9.0,ICE/Hybrid,Petrol
Renault,Kwid,2015,Hatchback,Electric,4,4.20 - 11.05,8450,326 km range,"ESC, ABS, 360 Camera, ADAS, Leather Seats, Touchscreen, Sunroof, Power Windows, Connected Car, Apple CarPlay, Android Auto",4.2,11.05,7.625,EV,EV
Mahindra,Bolero,2019,Compact SUV,Petrol,14,7.00 - 18.00,9436,24.3 kmpl,"ABS, 360 Camera, Touchscreen, Cruise Control, Leather Seats, Wireless Charging, Android Auto",7.0,18.0,12.5,ICE/Hybrid,Petrol
Maruti Suzuki,Wagon R,2021,Compact SUV,Diesel,23,7.00 - 18.00,7615,19.2 kmpl,"ABS, Airbags, Leather Seats, Sunroof, Cruise Control, Android Auto, HUD",7.0,18.0,12.5,ICE/Hybrid,Diesel
BYD,E6,2021,Compact SUV,Petrol/Diesel,10,7.00 - 18.00,7921,18.9 kmpl,"Hill Hold, ADAS, Cruise Control, Power Windows, Ventilated Seats, Touchscreen, Leather Seats, Wireless Charging, Connected Car",7.0,18.0,12.5,ICE/Hybrid,Petrol/Diesel
Skoda,Slavia,2018,SUV,Petrol,11,10.00 - 30.00,5685,20.0 kmpl,"EBD, ABS, 360 Camera, Leather Seats, Cruise Control, Power Windows, Apple CarPlay, Connected Car, HUD",10.0,30.0,20.0,ICE/Hybrid,Petrol
Mahindra,XUV 700,2019,Compact SUV,Petrol,22,7.00 - 18.00,6251,23.8 kmpl,"Airbags, Hill Hold, EBD, AC, Sunroof, Power Windows, Ventilated Seats, Touchscreen, HUD, Connected Car",7.0,18.0,12.5,ICE/Hybrid,Petrol
BMW,3 Series,2021,Hatchback,Diesel,24,3.50 - 8.50,16381,27.9 kmpl,"Airbags, ESC, Leather Seats, AC, Touchscreen, Apple CarPlay",3.5,8.5,6.0,ICE/Hybrid,Diesel
Mahindra,Marazzo,2017,Hatchback,Petrol,15,3.50 - 8.50,14627,19.1 kmpl,"360 Camera, EBD, TPMS, Cruise Control, Power Windows, AC, Android Auto",3.5,8.5,6.0,ICE/Hybrid,Petrol
Volkswagen,Virtus,2018,MPV,Petrol,20,8.00 - 20.00,2662,17.8 kmpl,"Hill Hold, TPMS, Sunroof, Leather Seats, Ventilated Seats, Cruise Control, Voice Control",8.0,20.0,14.0,ICE/Hybrid,Petrol
Lexus,ES,2017,Hatchback,Petrol,11,3.50 - 8.50,15394,16.9 kmpl,"ABS, ADAS, TPMS, Sunroof, Ventilated Seats, Cruise Control, Voice Control, Android Auto, HUD",3.5,8.5,6.0,ICE/Hybrid,Petrol
BMW,X1,2020,SUV,Petrol,8,10.00 - 30.00,4478,24.0 kmpl,"ADAS, TPMS, AC, Power Windows, Cruise Control, Touchscreen, Android Auto, Voice Control, Connected Car",10.0,30.0,20.0,ICE/Hybrid,Petrol
Kia,Carens,2020,Electric Hatchback,Petrol/CNG,1,6.00 - 12.00,1706,23.0 kmpl,"TPMS, 360 Camera, ADAS, Ventilated Seats, Leather Seats, Power Windows, Cruise Control, Voice Control",6.0,12.0,9.0,ICE/Hybrid,Petrol/CNG
Citroen,C5 Aircross,2021,Sedan,Diesel,18,6.00 - 15.00,8731,19.4 kmpl,"EBD, ESC, ADAS, AC, Power Windows, Leather Seats, Touchscreen, HUD",6.0,15.0,10.5,ICE/Hybrid,Diesel
Citroen,C3,2020,Sedan,Petrol,21,6.00 - 15.00,13303,22.4 kmpl,"360 Camera, Hill Hold, TPMS, ADAS, Touchscreen, Leather Seats, Power Windows, Sunroof, AC, Apple CarPlay",6.0,15.0,10.5,ICE/Hybrid,Petrol
Toyota,Urban Cruiser,2022,Hatchback,Petrol,23,3.50 - 8.50,15334,24.4 kmpl,"Airbags, 360 Camera, TPMS, ADAS, Leather Seats, Power Windows, Cruise Control, Voice Control, Wireless Charging",3.5,8.5,6.0,ICE/Hybrid,Petrol
Tata,Tiago,2016,Electric Hatchback,Petrol/CNG,21,6.00 - 12.00,4431,21.6 kmpl,"ABS, Airbags, Sunroof, Touchscreen, AC, HUD, Wireless Charging",6.0,12.0,9.0,ICE/Hybrid,Petrol/CNG
Toyota,Camry,2023,Hatchback,Petrol/CNG,2,3.50 - 8.50,16105,20.5 kmpl,"ABS, 360 Camera, TPMS, Hill Hold, Ventilated Seats, Leather Seats, Sunroof, Wireless Charging, Voice Control",3.5,8.5,6.0,ICE/Hybrid,Petrol/CNG
